wo**,2019년 10월 28일,5,yes,죠리퐁프라페/1+마약 안들어간 마약 토스트/1,열두시까지 영업인데 열한시 반쯤 주문했는데 와주셔서 넘 조아써용 와플 맛있구 음료도 다른리뷰처럼 양 엄청 많아서 먹다 남겼네요 진짜 나가기 귀찮은 날 또 시킬거에요
la**,2019년 10월 27일,5,yes,크림치즈 빅 프레즐/1+피치스무디/1,😚😚😚😚😚😚😚😚😚😚😚😚😚😚😚
wo**,2019년 10월 25일,5,yes,메로나프라페/1+죠리퐁프라페/1,피치 스무디 맛납니다. 시원하고 ㅈㅁㅌ
wo**,2019년 10월 19일,5,yes,바나나프라페/1+죠리퐁프라페/1,🔚🔚🔚🔚🔚🔚🔚🔚🔚🔚🔚
wo**,2019년 10월 18일,5,yes,죠리퐁프라페/1+발뮤당 식빵 토스트/1,🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗
09**,2019년 10월 17일,5,no,（New）콩커피코코넛스무디/1+（New）앙버터토스트 4p/1,조리퐁라떼 맛있어요
la**,2019년 10월 13일,5,yes,（New）콩커피코코넛스무디/1+크렌베리주스 ICE/1,앙버터토스트맛있고 음료가 진짜크네요 작은사이즈도 있으면 좋을듯
la**,2019년 10월 9일,5,yes,크림치즈 빅 프레즐/1+（New）콩커피코코넛스무디/1,배달도 빠른 편이고 양은 엄청 많고 콩커피 스무디 엄청 맛있어요. 받자마자 쭈욱 해서 사진이..ㅎㅎㅎ
la**,2019년 10월 2일,5,no,（new）대만블랙슈가버블티/1(메뉴 선택(ICE))+（New）콩커피코코넛스무디/1,콩카페 스무디 너무 맛있어서 또 시키네요. 맛있어요
la**,2019년 9월 30일,5,yes,포장마차 수제 딸기크림 와플찡/1+（New）콩커피코코넛스무디/1,배달 빠르고 양도 맛도 최고 입니다.
tn**,2019년 9월 23일,5,yes,포장마차 수제 딸기크림 와플찡/1+카페라떼（4샷）/1(메뉴 선택(ICE 1샷 추가)),생각보다 콩커피 맛있고 양도 많아서 만족합니다.
kh**,2019년 9월 8일,4,no,일리터 콜드브루 라떼 ICE/1+대만 햄치즈 샌드위치1P/1+크렌베리주스 ICE/1+（New）카야버터토스트 4p/1,와플 겁나 달아요 ㅋㅋㅋ 단거 좋아하시는분들에게 추천 ㅋㅋㅋ
,2019년 9월 8일,5,no,포장마차 수제 초코크림 와플찡/1+（New）콩커피코코넛스무디/1,배달도 친절하고 포장도 깔끔했어요 커피 양도 많고 좋았으나 빵이 좀 부드럽지가 않아 아쉬웠어요 카야버터빵은 빵 테두리를 잘라 판매하심 덜 팍팍하려나..싶었어요
jj**,2019년 9월 7일,5,no,포장마차 수제 딸기크림 와플찡/1+수제 뚱카롱 황치즈/1+수제 뚱카롱 초코누텔라/1+마약 안들어간 마약 토스트/1,양이 많아서 좋네요ㅋ 사탕감사합니다
,2019년 9월 7일,5,no,바닐라라떼/1(HOT or ICE 선택(ICE)+추가선택(바닐라시럽 추가))+（new）대만블랙슈가버블티/1(메뉴 선택(ICE))+아쌈홍차밀크티/1(메뉴 선택(ICE))+피치스무디/1,맛있게 잘 먹었습니다
wk**,2019년 9월 6일,5,no,아메리카노（4샷）/1(메뉴 선택(ICE))+자몽에이드 ICE/1,사장님 너무 친절하시고 복숭아가 진짜 맛있었어요 !! 다른 것도 양도 엄청 많고 맛있었구요 태풍이 와서 위험했을텐데도 한방울 흘려지지 않고 왔습니다 고맙습니다
dd**,2019년 9월 6일,5,no,포장마차 수제 버터크림 와플찡/1+아메리카노（4샷）/2(메뉴 선택(ICE))+카페라떼（4샷）/1(메뉴 선택(ICE)+추가선택(슈가시럽 추가))+맛 없을 수 없는 콘치즈 토스트/1,양도 많고 너무너무 맛있어요 ㅋㅋ 사탕도 너무 귀엽고 감사합니아~
dd**,2021년 7월 13일,5,no,카페 모카크림빵（대）/1+연유버터라우겐/1+겹겹이초코퐁당/1+카페모카빵（대）/1,커피 양이 허덜덜ㅋㅋ 카페인 충전하기 딱좋아요. 서비스 막대사탕 감사합니다~
ya**,2021년 7월 13일,4,no,미니컵 아이스크림/1(맛 선택(쿠키앤크림))+순진우유크림빵/1+밤이듬뿍맘모스（소）/1+크로크무슈/1+카라멜 버터 쿠키바/1+리얼브라우니/1,
kt**,2021년 6월 13일,4,yes,순진우유크림빵/1+호두연유바게트/1+추억의 사라다고로케/1+치즈 브라우니/2,품절된 제품이 있다고 연락 주시고 잘 맞추어서 대체해주셔서 감사합니다~ 다음에 또 이용하겠습니다^^
fh**,2021년 6월 13일,5,yes,BELT샌드위치/1+겹겹이 연유크림 데니쉬/1+마구마구 고구마/1,배달 너무느림 로투스 가격대비 너무작음
79**,2021년 6월 10일,5,no,NEW아삭햄치즈패스트리/1+로제치킨 밸런스 샌드위치/1+낙엽소시지브레드/1+연유버터라우겐/1,치즈브라우니 순우유 맛있었음
mc**,2021년 6월 8일,5,no,로제치킨 밸런스 샌드위치/1+콥샐러드/1+미니햄치즈롤 （10개입／봉）/1+부드러운카스테라/1+쁘띠 초코머핀/1+안녕자두야빙빙초코/1+안녕자두야 빙빙딸기/1,배송도 빠르고 빵도 맛있어요
ad**,2021년 5월 18일,5,yes,햄치즈&에그샐러드샌드위치/1+데일리우유식빵/1+밤이듬뿍맘모스（소）/1+까까웨뜨/2+미니햄치즈롤 （10개입／봉）/1,맛나게 잘 먹었습니다.
12**,2021년 5월 18일,5,no,BELT샌드위치/1+바베큐치킨마요롤피자/1+아이스바닐라라떼/1(사이즈선택(라지사이즈)),늘 빠르고 정확한 배달 감사합니다. 항상 맛있게 잘 먹고 있습니다. 번창하시기 바랍니다!
fh**,2021년 5월 17일,4,no,델리박스（샌드위치＋빵랜덤박스）/1+딸기 블랙티/1+그랑드카페 아이스아메리카노/6(사이즈선택(선택안함))+아이스카페라떼/1(사이즈선택(선택안함)),맛있게 잘 먹겠습니다~~
ce**,2021년 5월 9일,5,yes,케이크속에 순우유（1호）/1(케이크칼 선택(케이크칼)+큰초선택(큰초（10개）)+작은초선택(작은초（10개）)+파티용품선택(선택없음)),너무 맛나게 잘 먹었어요
we**,2021년 4월 17일,5,yes,햄치즈&에그샐러드샌드위치/1+안녕자두야빙빙초코/1+안녕자두야 빙빙딸기/1+뚜레쥬르 비비고 소고기죽/1,배달은 빨리 해주셨는데 음료 한잔 누락이요 ㅠㅜ부분취소 해주셨지만 당황
p0**,2021년 4월 14일,5,yes,클래식치즈 케이크（3호）/1(케이크칼 선택(케이크칼)+큰초선택(큰초（0개）)+작은초선택(작은초（9개）)+파티용품선택(선택없음)),배달 빠르고 케이크 마싯
la**,2021년 4월 14일,5,no,마담 얼그레이 크림번/1+사르르 고구마케이크 빵/1+햄치즈&에그샐러드샌드위치/1+그랑드카페 아이스아메리카노/1(사이즈선택(선택안함))+뚜레쥬르가 만든 신선한 초코우유（200ml）/1,항상 빠른배달이었는데 이날은 특히나 더 빨랐습니다. 주문하고 진짜 잠깐 딴짓했는데 아래에서 벨누르셔서 깜짝 놀랐어요ㅎㅎ 항상 빠르게 맛있는 빵을 먹을 수 있어서 늘 만족입니다. 고맙습니다.
kk**,2021년 4월 13일,5,yes,카라멜 버터 쿠키바/1+못난이통팥소보로/1+겹겹이초코퐁당/1+카페모카빵（대）/1+슈크림소보로/1,치즈케이크 잘 먹었어요^^
tm**,2021년 4월 12일,5,yes,카라멜애플파이/1+BELT샌드위치/1+리코타 그릴치킨 샐러드/1+베이비슈（3개）/1+허니카스테라/1,맛있네요 자주시켜먹을게여
p0**,2021년 4월 9일,5,no,에그타르트/2+떠먹는쁘띠티라미수/1+리얼브라우니/1,배달 빠르고 알바생 친절해서 좋아요!!!
ji**,2021년 4월 3일,5,yes,완두앙금빵/2+카페 모카크림빵（대）/1+낙엽소시지브레드/2+복숭아자두스무디/1,항상 감사합니다~ 좋아요
kk**,2021년 4월 2일,5,yes,못난이통팥소보로/1+겹겹이초코퐁당/1+마담 얼그레이 크림번/1+밤이듬뿍맘모스（소）/1+진한 녹차 브라우니/1,맛있어용~~~~!~!
hy**,2021년 3월 31일,5,yes,부드러운후레쉬크림샌드빵/1+베이비슈（3개）/3,맛있게 잘 먹었습니다
yu**,2021년 3월 30일,5,no,마담 얼그레이 크림번/1+크로크무슈/1+피자토스트/1+리얼브라우니/2,쪽지 넘 감동이에여ㅜㅜ 배달하기전에 전화도 주시고ㅠㅠ 힝힝 너무 감쟈합니다 ♥︎ ♥︎ ♥︎ 칼퇴하세용 ♥︎
mo**,2021년 3월 21일,5,yes,단팥소보로빵/1+호두연유바게트/1+미니햄치즈롤 （10개입／봉）/1+그랑드카페 아이스아메리카노/1(사이즈선택(선택안함)),맛있는 빵 너무 잘 도착했어요~ :)
ol**,2021년 3월 19일,4,yes,부드러운카스테라/1+리얼초코소라빵/2+미니햄치즈롤 （10개입／봉）/1+카라멜애플파이/2,맛잇어요~~~~~~
he**,2021년 3월 17일,5,yes,리코타 그릴치킨 샐러드/1+아이스아메리카노＋B.E.L.T 샌드위치/1+콥샐러드/1,마스크도 보내주셨네요☺️ 맛있게 잘 먹었습니다~~
fh**,2021년 3월 16일,4,no,미니밤식빵（소）/1+밤이듬뿍맘모스（소）/1+햄치즈&에그샐러드샌드위치/1,빵이 몇개 남아있는지 몰아서 애플파이 2개시켜는데 1잒에 없어서 대중시켜서 아쉬운게 있네요ㅠ 애플파이 맛있어요~ 초코코로네 도 다른데보다 맛있다고 해요~약14000₩정도 샀는데 이정도라면 좋은것 같아요 햄치즈롤도 양많고 빵이 쫄깃하게 되어서 맛있어요~
ks**,2021년 3월 15일,5,yes,딸기듬뿍우유브레드/1+딸기생크림소보로/1+딸기생크림크라상/1+겹겹이초코퐁당/1+밤이듬뿍맘모스（소）/1,샐러드 아주 훌륭..
ci**,2021년 3월 14일,5,no,딸기라떼/1+옥수수범벅/1+엄마랑 장볼 때 먹던 그때 그 도나쓰（5개입）/1+미니햄치즈롤 （10개입／봉）/1+쁘띠 초코머핀/1+안녕자두야빙빙초코/1+안녕자두야 빙빙딸기/1,배달도 빠르고 샌드위치 넘 맛있게 먹었어요!! 믿고 먹는 뚜레쥬르!!
el**,2021년 3월 10일,5,yes,겹겹이초코퐁당/1+추억의 사라다고로케/1+햄치즈&에그샐러드샌드위치/1+콥샐러드/1+뚜레쥬르가 만든 신선한 우유 （930ml）/1,너무너무 바쁜 시간에 전화도 잘 받아주시고 친절하게 대해주시고 문제 해결도 해주셨습니다 진심 감사드립니다
ve**,2021년 3월 10일,5,no,딸기와 우유생크림 2호/1(케이크칼 선택(케이크칼)+큰초선택(큰초（10개）)+작은초선택(작은초（0개）)),늘 빠른 배달 감사합니다. 지난번에도 그렇고 이번에도 빵 정말 맛있게 잘먹었습니다.
is**,2021년 3월 5일,5,no,딸기생크림소보로/1+초코 듬뿍 초클레어/1+겹겹이초코퐁당/1+호두연유바게트/1+분다버그 （진저비어）/1+리얼브라우니/1,덕분에 집 밖 안나가고 간편하게 먹었어요ㅎㅎ
is**,2021년 3월 1일,5,yes,딸기듬뿍우유브레드/2+딸기연유생크림몽블랑/2+통우유식빵（Half）/1,배달빠르고 친절해요
su**,2021년 2월 20일,5,yes,딸기생크림소보로/1+빵속에우유퐁당/1+크랜베리애플크림치즈/1+황금파이만주/1+뚜레쥬르가 만든 신선한 우유 （930ml）/1,사장님 저 분다버그 진저비어 시켰는데 다른맛이 왔어요 ㅠ 시간이 늦어 그냥 먹는데.. 다음엔 진저비어로 꼭 부탁 드려요 ㅜㅜ
mu**,2021년 2월 20일,5,yes,딸기듬뿍우유브레드/1+딸기연유생크림몽블랑/1+딸기생크림소보로/1,이 비오는날 날씨도 안좋은데 배달도 빨리해주시고 빵도 맛있고 배달기사님도 친절 하셨어요 감사합니다 번창 하세요
ls**,2021년 2월 19일,5,no,앙버터라우겐/1+마담 얼그레이 크림번/1+밤이듬뿍맘모스（소）/1+호두연유바게트/1,뚜레쥬루는 진짜 짱짱 아주 잘 먹었어요
fh**,2021년 2월 19일,5,yes,폭신폭신우유브레드/1+빵속에우유퐁당/1+生生생크림식빵/1+바통쉬크레 （5개）/1,배달도 빠르고 맛난 빵 잘먹었습니다~
ol**,2021년 2월 18일,5,yes,폭신폭신우유브레드/1+순진우유크림빵/1+카페 모카크림빵（대）/1+낙엽소시지브레드/1,호두연유바게트랑 마담얼레이크림번 강추입니당❤️
lm**,2021년 2월 17일,5,yes,딸기듬뿍우유브레드/1+데일리우유식빵/1+미니햄치즈롤 （10개입／봉）/1+로제치킨 밸런스 샌드위치/1+쁘띠 초코머핀/1+안녕자두야빙빙초코/1,그 사이 매진된 빵 때문에 친절히 전화주셔서 감사합니다.
ia**,2021년 2월 6일,5,yes,빵속에우유퐁당/1+쫄깃한찹쌀도넛/2+떠먹는쁘띠티라미수/1,주문한 제품 품절됐다고 직접 전화주시고 서비스도 넣어주셔서 기분좋게 잘먹었어요 감사합니다^^
db**,2021년 2월 2일,5,yes,베리베리 건강브레드（대）/1+필라델피아크림치즈플레인/1+겹겹이초코퐁당/1,배달도 정말 빠르고 빵 맛도 너무 좋았어요. 이 샌드위치 처음 먹어봤는데 다음에도 또 먹을 것 같아요! 그리고 냉장보관 해야하는 빵을 표시해달라고 요청드린것도 너무 잘 표시해주셔서 감사합니다!!!!
cg**,2021년 2월 2일,5,no,우유카라멜이 즐겁소/1(큰초선택(큰초（3개）)+작은초선택(작은초（0개）)),요거요거아주맛나네요
la**,2021년 1월 20일,5,no,그랑드카페 아메리카노（HOT）/1+그랑드카페 아이스아메리카노/2+딸기스무디/1,배송 빨라서 좋아요 건강빵 맛았네요
di**,2021년 1월 18일,5,no,티라미수롤케이크/1,잘 먹었습니다. 다음에 또 주문할께요
kk**,2021년 1월 17일,5,no,데일리우유식빵/1+미니밤식빵（소）/1+단팥소보로빵/1+슈크림빵/1+오리지널 크라상/1+황금파이만주/1+카라멜애플파이/1,항상 맛있게 잘먹고 있습니다
w7**,2021년 1월 16일,3,no,베리베리 건강브레드（대）/1+소보로빵/2+아이스카라멜마끼아또/1+클래식치즈케이크（조각）/1,선물하려고 급하게 주문했는데 빠르게 보내주셔서 감사합니다!
to**,2021년 1월 10일,5,yes,못난이 감자치즈（3개입）/1+크로크무슈/1+피자토스트/1+떠먹는쁘띠티라미수/1+리얼브라우니/1,좋아요좋아요좋아요굿굿굿
kk**,2021년 1월 10일,5,yes,마담 얼그레이 크림번/1+코코넛 로쉐/2+베리베리 건강브레드（대）/1+한겹한겹촉촉한밀크브레드/1+슈크림소보로/1+NEW 정통고로케/1,..........
al**,2021년 1월 8일,5,yes,데일리우유식빵/1+겹겹이 데니쉬/1+연유버터라우겐/1+슈크림빵/1+NEW어니언소시지포카치아/1+베이비슈（3개）/1,맛있어요~~~~!!!
sz**,2021년 1월 6일,4,yes,달콤바삭 연유스틱/1+피자토스트/1+햄치즈&에그샐러드샌드위치/1+떠먹는쁘띠티라미수/1,뚜레쥬르 배달되니 넘 좋네요~~맛있게 잘 먹었습니다~^^
ia**,2021년 1월 6일,5,yes,옛날 꽈배기 도넛/2+촉촉한초코가나슈/1+레몬마카롱/1+초코마카롱/2,잘 먹었습니다~~~
jo**,2021년 1월 5일,5,yes,앙버터라우겐/1+연유버터라우겐/1+옛날 꽈배기 도넛/1+아이스카라멜마끼아또/1+아이스바닐라라떼/1,가루가 너무 떨어져서 티라미수는 따로 포장해주시는게 좋을것 같아용
ka**,2021년 1월 5일,5,yes,앙버터라우겐/1+카페카야번/1+BELT샌드위치/1+에그쉬림프샌드위치/1+아이스카라멜마끼아또/1,배달 빠르고 좋네요~~^^
ce**,2021년 1월 4일,5,no,겹겹이 데니쉬/2+겹겹이 연유크림 데니쉬/2,빠르고 좋아요^^!!
gh**,2020년 12월 20일,5,no,진한 녹차 브라우니/1+못난이통팥소보로/1+카페카야번/1+쫄깃한찹쌀도넛/2+리얼브라우니/1,맛있게 잘 먹었어요
gh**,2020년 12월 19일,5,yes,바로굽는 토스트식빵/1+미니밤식빵（소）/1+못난이통팥소보로/1+카페 모카크림빵（대）/1,배달도 빠르고 기사님이 정말 친절하셨어요. 빵도 너무 맛있게 지금 먹고 있습니다. 수고 하세요.
er**,2020년 11월 30일,5,no,앙!호두 버터 샌드/1+마담 얼그레이 크림번/1+앙버터라우겐/1+호두연유바게트/1,뚜레쥬르 말해모해ㅎㅎ
gh**,2020년 11월 23일,5,no,호두연유바게트/2+추억의 사라다고로케/2,튀김소보루 모카크림빵 맛있어요 밤식빵도 작은 것이 있어 혼자 먹기 좋아요
de**,2020년 11월 19일,5,no,통우유식빵（Half）/1+밤이듬뿍밤모스（소）/1+카페 모카크림빵（대）/1+추억의 사라다고로케/1,새로운 메뉴에 도전했는데 맛있었어요
pe**,2020년 11월 16일,5,no,밤이듬뿍밤모스（소）/1+호두연유바게트/1+까까웨뜨/2+추억의 사라다고로케/1,뚜레쥬르에서 제일 좋아하는 두제품 맛있어요
he**,2020년 10월 27일,5,no,클래식롤케이크/1+순우유 딸기무스（1호）/1(케이크칼 선택(케이크칼)+큰초선택(큰초（0개）)+작은초선택(작은초（0개）)+파티용품선택(케이크 토퍼 - CONGRATS)),배달도 빠르구 빵들도 너무 맛있네요. 감사해요~~ 번창하세요
st**,2020년 10월 19일,4,no,빵긋랜덤박스/1+딸기스무디/1,호두 연유바게트랑 샐러드빵 좋아하는데 샐러드빵이 다른 매장에 비해 너무 작은것 같아 아쉬웠어요
eu**,2020년 10월 5일,5,yes,치즈방앗간（3개）/1+후레쉬크림빵/2+옥수수범벅/1+호두연유바게트/1+로제치킨 밸런스 샌드위치/1,케잌이 옆으로 쏠려서 상자에 붙어서 왔어요..... 토핑된 딸기도 옆으로 다 떨어져있고 ㅠ 배송이아쉬웠지만 케잌은 맛있게 먹었습니다!!
